name,emotion
Exuberant,positive
Fabulous,positive
Faded,negative
Fair,positive
Fair-minded,positive
FairMinded,positive
Faithful,positive
Faithless,negative
False,negative
Famous,positive
Fanatical,negative
Fanciful,negative
Fancy,positive
Fantastic,positive
Farsighted,positive
Fast,positive
Fatalistic,negative
Fawning,negative
Fearful,negative
Fearless,positive
Felicific,positive
Fickle,negative
Fierce,negative
Fiery,negative
Filthy,negative
Fine,positive
Finicky,negative
Firm,positive
Fixed,negative
Flamboyant,negative
Flashy,negative
Flexible,positive
Flippant,negative
Flirtatious,negative
Focused,positive
Foolhardy,negative
Foolish,negative
Forceful,positive
Forgetful,negative
Forgiving,positive
Forthright,positive
Frank,positive
Frantic,negative
Fraudulent,negative
Freethinking,positive
Fresh,positive
Fretful,negative
Friendly,positive
Frightening,negative
Frivolous,negative
Fun,positive
Functional,positive
Fun-loving,positive
FunLoving,positive
Funny,positive
Furtive,negative
Fussy,negative
Gallant,positive
Generous,positive
Gentle,positive
Genuine,positive
Glamorous,positive
Gloomy,negative
Glorious,positive
Good,positive
Good-natured,positive
GoodNatured,positive
Graceless,negative
Gracious,positive
Grand,negative
Great,positive
Greatest,positive
GreatTooling,positive
Greedy,negative
Gregarious,positive
Grieving,negative
Grim,negative
Grouchy,negative
Gruesome,negative
Grumpy,negative
Guarded,negative
Gullible,negative
Happy,positive
Hard-working,positive
HardWorking,positive
Harmonious,positive
Harsh,negative
Hateful,negative
Haughty,negative
Healthy,positive
Hearty,positive
Hedonistic,negative
Helpful,positive
Helpless,negative
Heroic,positive
Hesitant,negative
Hidebound,negative
High-handed,negative
High-minded,positive
Hilarious,positive
Homeless,negative
Homoiconic,neutral
Honest,positive
Honorable,positive
Horrible,negative
Hostile,negative
Humble,positive
Humorous,positive
Hungry,negative
Hurt,negative
Idealistic,positive
Ignorant,negative
Ill,negative
Imaginative,positive
Imitative,negative
Impartial,positive
Impatient,negative
Imperative,neutral
Imperfect,negative
Impolite,negative
Impractical,negative
Impressive,positive
Imprudent,negative
Impulsive,negative
Incisive,positive
Inconsiderate,negative
Inconsistent,negative
Incorruptible,positive
Incredible,positive
Incurious,negative
Indecisive,negative
Independent,positive
Indie,neutral
Indiscreet,negative
Individualistic,positive
Indolent,negative
Indulgent,negative
Industrious,positive
Inert,negative
Inflexible,negative
Inhibited,negative
Innovative,positive
Inoffensive,positive
Insecure,negative
Insensitive,negative
Insightful,positive
Insincere,negative
Insouciant,positive
Instinctive,positive
Insulting,negative
Intellectual,positive
Intelligent,positive
Interesting,positive
Interfering,negative
Interpreted,neutral
Intolerant,negative
Intrigued,positive
Intuitive,positive
Inventive,positive
Invulnerable,positive
Irascible,negative
Irrational,negative
Irresolute,negative
Irresponsible,negative
Irritable,negative
Jealous,negative
Jittery,negative
Jolly,positive
Joyous,positive
Juicy,positive
Kind,positive
Kind-hearted,positive
KindHearted,positive
Knowledge,positive
Knowledgeable,positive
Lacking,negative
Lazy,negative
Leaderly,positive
Leisurely,positive
Level,positive
Liberal,positive
Libidinous,negative
Light,positive
Likeable,positive
LikeIt,positive
Lively,positive
Logical,positive
Lonely,negative
LongAwaited,positive
Loquacious,negative
Lovable,positive
Lovely,positive
Loving,positive
Loyal,positive
Lucky,positive
Lyrical,positive
Machiavellian,negative
Magic,positive
Magical,positive
Magisterial,positive
Magnanimous,positive
Mainstream,positive
Malicious,negative
Mannered,negative
Mannerless,negative
Many-sided,positive
ManySided,positive
Masculine,positive
Masterful,positive
Materialistic,negative
Maticulous,positive
Mature,positive
Mawkish,negative
Mealymouthed,negative
Mean,negative
Mechanical,negative
Meddlesome,negative
Melancholic,negative
Meretricious,negative
Messy,negative
Methodical,positive
Miserable,negative
Miserly,negative
Misguided,negative
Mistaken,negative
Model,positive
Moderate,positive
Modern,positive
Modest,positive
Money-minded,negative
MoneyMinded,negative
Monstrous,negative
Moody,negative
Morbid,negative
Muddle-headed,negative
Multi-leveled,positive
Mysterious,negative
Naive,negative
Narcissistic,negative
Narrow,negative
Narrow-minded,negative
NarrowMinded,negative
Nasty,negative
Natty,negative
Naughty,negative
Neat,positive
Negativistic,negative
Neglectful,negative
Nervous,negative
Neurotic,negative
Nice,positive
NiceMan,positive
Nihilistic,negative
Noisy,negative
Nonauthoritarian,positive
NotMyPresident,negative
Novelty,positive
Obedient,positive
Object,neutral
Objective,positive
Obnoxious,negative
Observant,positive
Obsessive,negative
Obstinate,negative
Obvious,negative
Odd,negative
Offhand,negative
Old,negative
One-dimensional,negative
One-sided,negative
OneSided,negative
Open,positive
Opinionated,negative
Opportunistic,negative
Oppressed,negative
Optimistic,positive
Orderly,positive
Organized,positive
Original,positive
Outrageous,negative
Overcritical,negative
Overemotional,negative
Overimaginative,negative
Overrated,negative
overwhELMing,positive
Painstaking,positive
Panicky,negative
Paranoid,negative
Parsimonious,negative
Passionate,positive
Passive,negative
Pathetic,negative
Patient,positive
Patriotic,positive
Patronizing,negative
Peaceful,positive
Pedantic,negative
Perceptive,positive
Perfect,positive
Perfection,positive
Perfectionist,positive
Persistent,positive
Personable,positive
Persuasive,positive
Perverse,negative
Pessimistic,negative
Petty,negative
Pharissical,negative
Phenomenal,positive
Philosophical,positive
Phlegmatic,negative
Pioneering,positive
Pitiful,negative
Placid,positive
Planful,positive
Plausible,positive
Playful,positive
Pleasant,positive
Plodding,negative
Plucky,positive
Polished,positive
Polite,positive
Pompous,negative
Popular,positive
Possessive,negative
Powerful,positive
Power-hungry,negative
PowerHungry,negative
Practical,positive
Precise,positive
Predatory,negative
Prejudiced,negative
President,positive
Presumptuous,negative
Pretentious,negative
Prim,negative
Principled,positive
Pro-active,positive
ProActive,positive
Procrastinating,negative
Procrastinator,negative
Productive,positive
Profligate,negative
Profound,positive
Protean,positive
Protective,positive
Proud,positive
Providential,positive
Provocative,negative
Prudent,positive
Pruposeful,positive
Pugnacious,negative
Punctual,positive
Puritanical,negative
Pusillanimous,negative
Quarrelsome,negative
Quick-tempered,negative
QuickTempered,negative
Quick-witted,positive
QuickWitted,positive
Quiet,positive
Quirky,negative
Rational,positive
Reactionary,negative
Reactive,negative
Realistic,positive
Receptive,positive
Reflective,positive
Regimental,negative
Regretful,negative
Relaxed,positive
Reliable,positive
Relieved,positive
Repentant,negative
Repressed,negative
Repulsive,negative
Resentful,negative
Reserved,positive
Resolute,positive
Resourceful,positive
Respectful,positive
Responsive,positive
Reverential,positive
Rhetorical,positive
Rich,neutral
Ridiculous,negative
Righteous,positive
Rigid,negative
Ripe,positive
Ritualistic,negative
Romantic,positive
Rotten,negative
Rowdy,negative
Rude,negative
Ruined,negative
Rustic,positive
Ruthless,negative
Sad,negative
Sadistic,negative
Sage,positive
Salty,neutral
Sanctimonious,negative
Sane,positive
Sarcastic,negative
Scary,negative
Scheming,negative
Scholarly,positive
Scornful,negative
Scrupulous,positive
Secretive,negative
Secure,positive
Sedate,positive
Sedentary,negative
Seemly,positive
Selective,positive
Self-assured,positive
SelfAssured,positive
Self-centred,negative
SelfCentred,negative
Self-confident,positive
SelfConfident,positive
Self-critical,positive
SelfCritical,positive
Self-defacing,positive
SelfDefacing,positive
Self-denying,positive
SelfDenying,positive
Self-disciplined,positive
SelfDisciplined,positive
Self-indulgent,negative
SelfIndulgent,negative
Selfish,negative
Selfless,positive
Self-reliant,positive
SelfReliant,positive
Self-sufficent,positive
SelfSufficent,positive
Sensitive,positive
Sentimental,positive
Seraphic,positive
Serious,positive
Sexy,positive
Shallow,negative
Sharing,positive
Shiftless,negative
Shortsighted,negative
Shrewd,positive
Shy,positive
Silly,negative
Simple,positive
Sincere,positive
Single-minded,positive
SingleMinded,positive
Skillful,positive
Sloppy,negative
Slow,negative
Sly,negative
Small-thinking,negative
SmallThinking,negative
Smart,positive
Smiling,positive
Sneaky,negative
Snobbish,negative
Sober,positive
Sociable,positive
Softheaded,negative
Solid,positive
Sophisticated,positive
Sordid,negative
Sore,negative
Sour,negative
Spendthrift,negative
Spicy,negative
Splendid,positive
Spontaneous,positive
Sporting,positive
Squeamish,negative
Stable,positive
Stale,negative
Steadfast,positive
Steady,positive
Steely,negative
Sticky,neutral
Stiff,negative
Stimulating,positive
Stingy,negative
Stoic,positive
Straightforward,positive
Strange,negative
Strong,positive
Strong-willed,positive
StrongWilled,positive
Stubborn,negative
Studious,positive
Stupid,negative
Suave,positive
Submissive,negative
Subtle,positive
Successful,positive
Succinct,positive
Sulky,negative
Sullen,negative
Superficial,negative
Superstitious,negative
Surly,negative
Suspicious,negative
Sweet,positive
Sympathetic,positive
Systematic,positive
Tacky,negative
Tactless,negative
Talented,positive
Tasteful,positive
Tasteless,negative
Tasty,positive
Teacherly,positive
Tense,negative
Terrible,negative
Testy,negative
TheBest,positive
Thick-skinned,negative
ThickSkinned,negative
Thievish,negative
Thorough,positive
Thoughtful,positive
Thoughtless,negative
Threatening,negative
Thrifty,positive
Thrilling,positive
Tidy,positive
Tight,negative
Timid,negative
Tired,negative
Tiresome,negative
Tolerant,positive
Touchy,negative
Tough,positive
Tractable,positive
Transparent,negative
Trash,negative
Treacherous,negative
Trendy,negative
Troubled,negative
Troublesome,negative
Truculent,negative
Trusting,positive
Trustworthy,positive
Typical,negative
UkrainianFriend,positive
Unappreciative,negative
Unassuming,positive
Unbiased,positive
Uncaring,negative
Uncharitable,negative
Uncomplaining,positive
Unconvincing,negative
Uncooperative,negative
Uncreative,negative
Uncritical,negative
Unctuous,negative
Understanding,positive
Undesirable,negative
Undisciplined,negative
Undogmatic,positive
Unfair,negative
Unfoolable,positive
Unfriendly,negative
Ungrateful,negative
Unhealthy,negative
Unimaginative,negative
Unimpressive,negative
Unjustifiable,negative
Unjustified,negative
Unkind,negative
Unlovable,negative
Unpolished,negative
Unpredictable,negative
Unprincipled,negative
Unrealistic,negative
Unreflective,negative
Unreliable,negative
Unrestrained,negative
Unself-critical,negative
UnselfCritical,negative
Unstable,negative
Unsuitable,negative
Unsure,negative
Untidy,negative
Untrustworthy,negative
Unusual,positive
Upbeat,positive
Upright,positive
Upset,negative
Uptight,negative
Urbane,positive
Vacuous,negative
Vague,negative
Vain,negative
Venal,negative
Vengeful,negative
Venomous,negative
Venturesome,positive
Versatile,positive
Vigorous,positive
Vindictive,negative
Vivacious,positive
Volatile,negative
Voracious,negative
Vulgar,negative
Vulnerable,negative
Warm,positive
Warmhearted,positive
Wary,negative
Wasteful,negative
WasteOfMyTime,negative
Weak,negative
Weak-willed,negative
WeakWilled,negative
Weary,negative
Well-bred,positive
WellBred,positive
Well-read,positive
WellRead,positive
Well-rounded,positive
WellRounded,positive
Wicked,negative
Wild,negative
Willful,negative
Willing,positive
Winning,positive
Wise,positive
Wishful,negative
Witty,positive
Wonderful,positive
Workaholic,neutral
Worried,negative
Worthless,negative
Wretched,negative
Youthful,positive
Zany,negative
Zealous,positive
